Content,Reactions,Comments,Reposts,Poster,Location
"Hey everyone!!  After almost 100 days we are now back in AB.  This is huge deal for us as we are now heading for home after nearly 10700km of cycling.  The celebration was very muted as we had to drive in through sections of smoke and wildfire devastation.  We left Yellowknife, NT in the knick of time this morning at 6:00am escaping an escalating situation.  We have been driving for a very long time today simply looking for accommodations which are scarce due to the evacuatio… See more",18.0,5 comments,5 comments,Matt Devine,"Yellowknife, NT"
"A massive wildfire has forced the evacuation of Yellowknife, capital of Canada's Northwest Territories. Over 20,000 residents must flee by Friday as the blaze approaches the city. The wildfire, currently 16 km from Yellowknife, has already prompted the evacuation of several nearby towns. As the worst wildfire season in Canada continues, more than 1,000 active fires are burning across the country, including 236 in the Northwest Territories. Traffic jams clog the only highway o… See more",28.0,9 comments,9 comments,Oleksandr Sasha Kondrashov,
"These people are building Yellowknife's wildfire defences. You can also watch this at: https://www.youtube.com/watch?v=-7F82xPRTUYMeet Chris Greencorn, Pete Houweling, Kenny Ruptash and Steven Thomson. They're some of the people building the massive defences – fire breaks, sprinkler lines, water cannon and more – that will be Yellowknife's last line if a nearby wildfire reaches the city's outskirts.Watch aerial footage of those defences supplied by Jay Bulckaert and Pablo… See more",104.0,8 comments,8 comments,Ollie Williams,
"Good morning from Yellowknife. This will be my last evac post and I couldn't be happier! As you can see, we're set up at the airport and ready to welcome our people home. I'll be driving YKDFN members home from #yzf, so check in at our welcome desk if you need a lift. Drive safe, be safe. We love you Yellowknife   #wildfire #nwt #ykdfn #home",74.0,4 comments,4 comments,Kieron Testart,Yellowknife Airport
Thanks to the Manitoba crews helping out the Buffalo crews. Lots of work to go around. ----… See more,60.0,3 comments,3 comments,Sam Storm,"Yellowknife, NT"
A lots of Military guys came.Saskatchewan firefighters plus firefighters from Ontario and North West territory firefighters are here.They are sweet and very nice guys.Also all the African firefighters left here. They did some ceremony. … See more,15.0,,,Corinne Urakawa,
Please be advised that there is a wildfire northeast of Behchoko moving towards Highway 3https://cwfis.cfs.nrcan.gc.ca/interactive-mapPlease #NWT #NWTFire #yellowknife #yzf #yklife,3.0,3 comments,3 comments,Jason Simpson,
"#Near Yellowknife, a city in Canada.Officials in British Columbia have urged residents to evacuate from the ‘severe and fast-changing’ wildfire area and have issued a state of emergency.",43.0,5 comments,5 comments,The Him Crucified Ministries,
"DEVELOPING: 20,000 ordered to evacuate Yellowknife as wildfire threatens the capital city of Canada's Northwest Territories. The National Desk - TND",62.0,4 comments,4 comments,Cayle Thompson Reports,
"What a great video, filled with emotion & determination! These guys have their heart & soul invested in keeping Yellowknife safe! Well done guys, well done! We're rooting for you to allow everyone to come home soon, screw phase 2, let's just getter done & onto phase 3!!",17.0,4 comments,4 comments,Patty Olexin-Lang,
Yellowknife NWT Wildfires.. Canada Wildfire..: Video Credit: Peter Houweling,22.0,7 comments,7 comments,D Khan,
"Rochdi’s Independent will be open from 4pm-8pm daily to help support the wildfire situation in Yellowknife:Please note that we are working with minimal staffing as the majority of our employees have evacuated south with their families.Stay safe, and together we will get through this challenging time - #nwtstrong",560.0,38 comments,38 comments,Your Independent Grocer - 250 Old Airport Road (Rochdi's Your Independent Grocer),
"First photo is from today! We have been home since Saturday night. We are grateful to be back and sleeping in our own beds. I wanted to make it clear that although the risk has decreased, we are still plagued by smoke and there are still fires raging in the territory. Our landscape has been forever changed, and it will be a challenging time for NWT residents, especially those with close connections to the land and an intimate understanding of its cycles.I included a cute vi… See more",84.0,5 comments,5 comments,Jennifer Rafferty,
"Take 5 minutes & watch this video a Travis Moir put together about Yellowknife's wildfire season thus far. These are the real ""heroes"", with boots on the ground! We can't thank them enough! There's even some familiar faces in this clip",13.0,,,Patty Olexin-Lang,
"Yellowknife/ Behchoko Wildfire (ZF015) – July 24, 2023 (4:00pm):This lightning-caused fire was last mapped at 63,441 hectares. It is less than 2km north of Highway 3, 25km east of Behchoko, and 45km northwest of Yellowknife.Behchoko and Yellowknife are not currently at threat",3.0,3 comments,3 comments,David Woodz,
"TŁĮCHǪ EVACUEESIf you are a Tłı̨chǫ Citizen from Yellowknife, Detta, or N’dilo evacuated due to the Yellowknife wildfire and have registered with the Red Cross in Alberta, British Columbia, or Winnipeg, your hotel stay may be extended. Please call 1-800-863-6582, and the Hotel will call or email to confirm the extension.",11.0,1 comment,1 comment,Tlicho,
"Many who live in Yellowknife, Canada are wondering what will be left as a wildfire bears down on the capital of Canada's Northwest Territories. 20,000 people were ordered to leave by Friday and the only highway out of the city was packed with evacuees.",129.0,38 comments,38 comments,CBS News,
"Behchoko/Yellowknife Wildfire (ZF015) – July 25, 2023 (1:30pm)This lightning-caused fire was last mapped at 63,441 hectares. It is 22km east of Behchoko, and 45km northwest of Yellowknife.The fire will cross Highway 3 imminently between 275-279. Highway 3 is closed. Get the latest on highway conditions: https://www.dot.gov.nt.ca/Highways… See more",25.0,8 comments,8 comments,NWT Fire,
Yellowknife WildFire.,9.0,1 comment,1 comment,Renuka Prasanna,
"YELLOWKNIFE WILDFIRE (ZF079), August 1, 2023, 4.22pm: A new lightning-caused fire has sprung up  between Yellowknife and Behchoko. It is located approximately 20 km northwest of Yellowknife, less than a km from the highway at marker 316.  CURRENT CONDITIONS: Winds are coming from the northeast, away from Yellowknife. WHAT IS BEING DONE:  A crew is actioning the fire with helicopter and tankers, and are being joined by Highways staff to determine the safety of the road… See more",27.0,11 comments,11 comments,NWT Fire,
CURRENT STATUS OF CITY DEFENSE: Extensive progress has been made by the City working with all the contractors and military who have stepped up to construct the … See more,,,,Rebecca Alty,
"With 22,000 residents of Yellowknife alone being evacuated due to wildfire, this group serves as a way for those seeking temporary shelter, and those offering to host evacuees in their homes a place to connect.Please share this group far and wide. Invite your friends.For the past year and a half, tens of thousands of Canadians have opened their homes to displaced Ukrainians, and now we have the opportunity to do the same for victims of Canadian wildfires.… See more",12.0,1 comment,1 comment,Canadians Host Wildfire Evacuees,
"Wildfire devastation in Enterprise NWT, the Yellowknife area.",4.0,3 comments,3 comments,Willow Creek Studio,
Fire news from the north. You can check for up to date information on Cabinradio.ca. I can't share any news from cabin radio thanks to FB feud. What a time for … See more,,,,Kaija Savinainen,
NEWS:  I wrote a 3 sentence post 5 minutes ago about the Yellowknife wildfire evacuations.  I felt it was important to highlight.  I clicked 'post' and this message box popped up.  .#yellowknife #canada #news #journalism #information #wildfires #yellowknifenwtcanada #yellowknifeevacuations,10.0,2 comments,2 comments,Patti Friday,
"YELLOWKNIFE WILDFIRE (ZF079), August 2, 2023 10am: This fire has been declared under control. The highway remains open and there is no threat to Yellowknife. Good work crews!",154.0,15 comments,15 comments,NWT Fire,
"Exciting News! Our Yellowknife office is reopening this morning, and we are back to our regular hours from 9 AM to 4 PM. We understand you may have questions about billing or account-related matters. For quick answers and convenience, please visit our website at https://northlandutilties.atco.link/wildfire-update to find detailed FAQs or call us at 867-873-4865 for assistance. We’re here to help!",1.0,2 comments,2 comments,Northland Utilities,
"The City of Yellowknife will be live webcasting the Government of the Northwest Territories' Wildfire Update at 7 p.m. today, Saturday, August 19, 2023. Those looking to watch this can access it from our website here: https://www.yellowknife.ca/.../city-government-webcast....",25.0,10 comments,10 comments,City of Yellowknife,
"Registered Yellowknife wildfire evacuees will receive free admission to all City of Edmonton recreation and leisure centres and YCMA buildings (except for Boyle Street Plaza), where they can shower and access recreation facilities. Evacuees will also receive free admission to the TELUS World of Science - Edmonton Edmonton Valley Zoo, Muttart Conservatory and John Janzen Nature Centre. More information on these attractions can be found at edmonton.ca/attractions-events.",58.0,8 comments,8 comments,City of Edmonton - Local Government,
Happy to see you guys... #yellowknife #nwt #yellowknifenwtcanada #yellowknifewildfire #Yellowknifer #evacuees,,1 comment,1 comment,Sad Richard Ilagan,Sad Richard Ilagan
"For anyone coming to Edmonton with pets, they’re setting up space at the evacuee centre for pets https://myemail.constantcontact.com/PSA---City-of...",6.0,,,Families With Pets Evacuating Yellowknife 2023,
"It was an honour and privilege having the chance to meet the Canadian Coast Guard's Assistant Commissioner recently. As part of his trip north, it was nice to be recognised for efforts undertaken by our Coast Guard Auxiliary Marine Rescue Unit during the NWT's Wildfires this summer.",27.0,4 comments,4 comments,Cameron Buddo,
"News from the Arctic: Assistant Commissioner Youssef Mani recently presented a plaque to the Yellowknife Marine Rescue Unit, recognizing their extraordinary eff… See more",,,,Canadian Coast Guard,
"I would like to send a huge thank you to all those who are currently back home in Yellowknife working to secure our community, protect it from the fires and keep things running for the safe return of all residents. I hope all evacuees are staying safe and in good spirits during this mandatory vacation!",3.0,,,Nathan Round - Coldwell Banker Northern Bestsellers,
"The City of Yellowknife will be live webcasting the Government of the Northwest Territories Wildfire Update at 4 p.m. today, Saturday, September 2, 2023.Watch the update on our website here: https://www.yellowknife.ca/.../city-government-webcast... Access previous recordings under the ""Wildfire Updates"" tab (see image).",11.0,7 comments,7 comments,City of Yellowknife,
"It’s really concerning that most of the places hardest hit are Indigenous communities. We need to be talking about how horribly the US and Canada have managed their forests. The Americas were managed with fire, and numerous other methods by Indigenous people for thousands of years. Obviously we can’t control the natural world, but stewardship is something humans have achieved and can again.",,5 comments,5 comments,Candice Manymules,
"Canada is battling its worst wildfire season, with more than 1,000 active fires burning across the country. The province of British Columbia announced a state o… See more",,,,Mirror Now,
"What a beautiful day today! Clear sky, clean air.I appreciate for the firefighters and military and NWT,City of Yellowknife to protect Yellowknife!!#nwtstrong #nwtwildfires #NWT #yellowknifewildfire #rebeccaalty",15.0,,,Corinne Urakawa,
"The wildfire situation has worsened in NWT. Hay River and Fort Smith were evacuated Monday by RCAF Hercules after their highways were blocked. A nearby community (Enterprise) is 90% gone. With the wildfires closer than 20 km away, Yellowknife (pop. 22K) now has an evacuation order in place for completion by noon Friday. We've seen the devastation in Lahaina, Maui in the past week but this is hitting a bit closer and won't have the same coverage.",33.0,23 comments,23 comments,Bob Briggs-Jude,
"Ho, Ho, Ho, Santa Claus is coming to town on Saturday, November 25, from 5:00 p.m. to 7:00 p.m. and the parade route is now available! This year’s theme, “Yello… See more",,,,City of Yellowknife,
"""The City of Yellowknife is issuing an Evacuation Alert for some areas of the city because of the real potential threat to public safety due to the Behchoko/Yellowknife wildfire (ZF015).The Evacuation Alert is for the following areas:- Kam Lake- Grace Lake… See more",60.0,37 comments,37 comments,NWT Fire,
"The City of Yellowknife will be live webcasting the Government of the Northwest Territories' Wildfire Update at 7 p.m. today, Tuesday, August 22, 2023.Those looking to watch this can access it from our website here: https://www.yellowknife.ca/.../city-government-webcast... Previous recordings can be found under the ""Wildfire Updates"" tab (see image).",12.0,1 comment,1 comment,City of Yellowknife,
"This Sentinel-2 image of the Yellowknife wildfire was taken yesterday, the image swath ends at the western edge of Yellowknife so the town is know shown. Yellowknife is just past the lower right edge of this image, about 25kms from the fire.",3.0,,,Lost Art Cartography,
"Wildfires in Canada ll 20,000 People Flee Homes in Yellowknife Wildfire The Northwest Territories government has ordered the evacuation of Yellowknife, the capital city of the Northwest Territories, due to a large wildfire that is burning out of control.The fire, known as the Behchoko/Yellowknife wildfire, is estimated to be about 100 square kilometers in size and is burning less than 10 miles outside the city. It is believed to have been started by lightning on August 15… See more",5.0,5 comments,5 comments,USA Dispatch,
It was Tuesday menus! In the firefighters camp in Yellowknife!They worked so hard to protect Yellowknife. I really appreciate their service.#yellowknifewildfire #nwtstrong,39.0,2 comments,2 comments,Corinne Urakawa,
Our hearts and prayers goes out for the families displaced by the recent Yellowknife wildfire evacuation. We wish we could do more. With our busy summer holiday crowd and the fire evac dogs already here we will have no vacancy till after labor day weekend. THANK YOU to our staff for the extra hours and shifts you're doing as well as your on-going love and compassion for the pets in our care.,29.0,4 comments,4 comments,Glenpark Pet Hotel & Suites,
"Scoop up the Fun! Free Ice Cream all day for Kids 10 y/o and under and to ALL Yellowknife Wildfire Evacuees, and a Melody-filled Evening from 3-9pm at Abbey’s Kensington!",13.0,1 comment,1 comment,Abbey’s Creations - Main,
"*** UPDATE*** My girlfriend is no longer in need of finding accommodations. Her insurance company has come to the rescue and has her sorted. I want to personally thank all the people who either shared this post or reached out privately with offers to help. There is truly a lot of kindness in the world. Thank you, thank you, thank you. … See more",15.0,2 comments,2 comments,Anita Adams,
N.W.T. officials say start planning now for lifting of Yellowknife evacuation order....… See more,,,,The Editor Europe,
"Authorities in #Canada’s Northwest Territories are urging residents to leave the capital of Yellowknife by air or land, as crews battle a massive wildfire that prompted an evacuation order for the city of about 20,000 people.#PoliticalUprising #Yellowknifewildfire",,,,Political Uprising,
"UPDATE: The Government of the Northwest Territories' Wildfire Update will now take place at 4 p.m. today, Monday, August 28, 2023 (instead of 7 p.m.).Watch the live webcast on our website here: https://www.yellowknife.ca/.../city-government-webcast... Access previous recordings under the ""Wildfire Updates"" tab (see image).",6.0,3 comments,3 comments,City of Yellowknife,
"A heartfelt message from the Tłı̨chǫ Government and all Tłı̨chǫ citizens - welcoming ALL those returning ""home"" after the Yellowknife wildfire evacuation. This message can be seen right beside the highway sign that indicates the Whatì All-season Road.  ""Home"" - it's such a simple word - that means so much.",45.0,1 comment,1 comment,Tlicho,
"Are YOU a Tłı̨chǫ Yellowknife wildfire evacuee? Do YOU need a flight from Edmonton to Yellowknife?Please contact Tommy Lafferty as soon as possible at 867-447-0089.The window to book flights is closing, please call ASAP so we can get all Tłı̨chǫ evacuees home by Sunday.",3.0,,,Tlicho,
"Flights out of Yellowknife are starting to ramp down, with an estimated 95 per cent of Yellowknifers having already left.",151.0,11 comments,11 comments,The Weather Network,
"The City of will be live webcasting the Government of the Northwest Territories' Wildfire Update at 7 p.m. today, Wednesday, August 23, 2023.Watch the update on our website here: https://www.yellowknife.ca/.../city-government-webcast... Access previous recordings under the ""Wildfire Updates"" tab (see image).",9.0,13 comments,13 comments,City of Yellowknife,
"Please pray for rain and calming of winds, and safety for people  being evacuated from Kelowna and Yellowknife wildfire areas.",33.0,10 comments,10 comments,Patti West,
"Behchoko/Yellowknife Wildfire (ZF015) – July 25, 2023 (5:30pm):This lightning-caused fire was last mapped at 63,441 hectares - however, the fire has grown significantly - reaching within 12km east of Behchoko. It remains 45km northwest of Yellowknife.Critical updates• Fire breached Highway 3 at km 278. Structure protection remains in place on cabins/homes in the area. Highway 3 is closed.… See more",92.0,28 comments,28 comments,NWT Fire,
"Officials say 20,000 residents of Yellowknife are leaving via land and air, but the northern city is not in ‘immediate danger’.#InsidePakistan #Pakistan #BreakingNews #News #Canada #WildFire #CanadaWildFires #YellowKnife #YellowKnifeWildFire",2.0,,,Inside Pakistan,
"Some 20,000 people have been ordered to evacuate their homes in Yellowknife, the capital of Canada's Northwest Territories, and the surrounding areas as the Behchoko/Yellowknife wildfire burns out of control less than 10 miles outside the city.",4.0,,,GPB News,
"Some 20,000 people have been ordered to evacuate their homes in Yellowknife, the capital of Canada's Northwest Territories, and the surrounding areas as the Behchoko/Yellowknife wildfire burns out of control less than 10 miles outside the city. More than 230 active fires are threatening other cities and towns in the region. The order to evacuate was issued by the minister of municipal and community affairs on Wednesday, forcing Yellowknife and Ingraham Trail residents to flee… See more",5.0,,,CRC Canadian Indigenous Ministry Committee,
N.W.T. officials say start planning now for lifting of Yellowknife evacuation order....… See more,,,,The Editor,
Canada Wildfires: Residents Race to Evacuate Amidst Fires Threatening Kelowna and Yellowknife #CanadaFires #Yellowknifewildfire #Evacuation,,,,Distinct Post,
Massive Lines Of People Wait To Be Evacuated From Yellowknife As Wildfire Rages #Aviation,14.0,,,Simple Flying,
It's super busy again at #YZF!! And smokey! Expect that most of the day! #WelcomeHomeYZF ! … See more,29.0,,,Patty Olexin-Lang,
"Some 20,000 people have been ordered to evacuate their homes in Yellowknife, the capital of Canada's Northwest Territories, and the surrounding areas as the Behchoko/Yellowknife wildfire burns out of control less than 10 miles outside the city. More than 230 active fires are threatening other cities and towns in the region.",1.0,,,WMRA Public Radio,
"Yellowknife RCMP received two reports of alleged arson Tuesday evening before the territory issued widespread evacuations of 20,000 people from the capital.",5.0,,,Rebel News,
Yellowknife is the headquarters for most of the Canadian Diamond Mining.  Yikes!https://www.msn.com/.../yellowknife.../ar-AA1fp9pa...,,,,Humes Jewelers,
“Yellowknife wildfire: Facebook news ban hampers evacuation efforts as residents rush to leave.”,4.0,,,Sam Cowan,
"The bills are coming in for the work done this summer to protect Yellowknife from an encroaching wildfire — and the city is looking for more help, this time to do the accounting. (via CBC News )",,,,Eye on the Arctic / Regard sur l'Arctique,
"Thousands of Canadians including our fellow kababayans are affected by the wildfires in Kelowna, BC and Yellowknife NWT. Thankfully there has been no reported casualties. We pray for everyone’s safety in this dreadful disaster. #BCWildfire #Kelownafire #Yellowknifewildfire",79.0,,,FIESTA FILIPINO,
WATCH: A group of Yellowknife evacuees describe how the wildfire has so far affected their lives as they flee to Alberta for safety.,18.0,1 comment,1 comment,CTV Edmonton,
"It's a beauty fall, but smoky day in the Knife today! Drive safe if you're returning home today or tomorrow!! A tad smoky all over! ..… See more",28.0,4 comments,4 comments,Patty Olexin-Lang,"Niven Lake (sjö i Kanada, Northwest Territories)"
Trying out a META news ban workaround:Yellowknife wildfire: communication issues and Facebook news ban hamper evacuation effortsCanada’s ongoing fight with social media company Meta and the resulting ban has led to difficulties with staying on top of informationTracey Lindeman in Ottawa… See more,8.0,,,Mary Pat YL,
scary is right,3.0,2 comments,2 comments,David Lambie,
"My best wishes to fellow Canadians in Yellowknife, Northwest Territories and Kelowna, BC as they deal with the wildfire tragedy ravaging their communities. I am glad to see that the protection of life has been a top priority for governments and citizens. We can always rebuild properties. I am glad to see our people and government here in Alberta doing their best to provide much needed support. To donate in support of both wildfires, please visit www.redcross.ca/in-your-commun… See more",2.0,1 comment,1 comment,Kaycee Madu,
"The Salvation Army Community Services (Calgary) and the DI with Global News on efforts to meet the needs of evacuees from the Yellowknife Wildfire: https://calgarydropin.ca/global-news-yellowknife-wildfire/To learn how you can help, visit www.calgarydropin.ca/yellowknife-wildfire#Yellowknife #YellowknifeFire #evacuees #WildfireAid",2.0,,,Calgary Drop-In Centre,
"For evacuees in Calgary who need information/support related to: Financial Support, FREE Recreation and Wellness, FREE Transportation, or FREE Clothing and Personal Items, please visit this website as it has great information and resources that will be kept up to date as there is new information:",8.0,6 comments,6 comments,Ryan Fequet Yellowknife City Councillor,
"Due to the wildfire situation and to Section 17 of the Emergency Management Act including the State of Emergency from the Premier, the City of Yellowknife is under an Evacuation Order effective no later than August 18, 2023 at noon.  In light of this news, the Chateau Nova Yellowknife and Nova Inn Yellowknife will not take any new reservations and will be cancelling all reservations outside of essential services until it is safe to welcome people back. We are working hard t… See more",1.0,,,Chateau Nova Yellowknife,
"As of Sunday morning, 3,088 people along with 144 animals have registered at the Reception Centre supporting wildfire evacuations from Yellowknife. Yellowknife evacuees are encouraged to come directly to the Reception Centre in Hall C (south entrance C1) located at the Edmonton EXPO Centre upon arrival in Edmonton if they are in need of assistance. The Centre provides temporary lodging, food services, clothing, pet day care care & health care.We thank Edmontonians for the… See more",56.0,13 comments,13 comments,City of Edmonton - Local Government,
Early days of zf011 when it was only a week or so old. At the time I never would have guessed that it would turn into the monster that it did. ----… See more,27.0,9 comments,9 comments,Sam Storm,"Yellowknife, NT"
"To all my friends and relatives in other parts of Canada and the world, if you are hearing the news of the wildfire fast approaching Yellowknife and are concerned about what is happening, especially if our internet and phones go down and you are not able to reach me, please check out the regular updates posted on our situation by Cabin Radio. Thanks to Facebook's banning of Canadian news content, I can't share their website, but just google Cabin Radio NWT and you will see them listed.",20.0,13 comments,13 comments,Moira Cameron,
"Northern Canada/ NWT Wildfire update:Everyone in Ndilo, Dettah and Yellowknife  must evacuate by noon Friday in a phased evacuation order. Read article below from cabin radio .ca",33.0,1 comment,1 comment,Christina King,
"Extensive progress has been made by the City of Yellowknife, working with all the contractors who have stepped up to construct the firebreaks, to actively remove vegetation ”fuel” and establish the sprinkler lines.What the City is doing:• The fire break to the west of the sandpits is almost complete and is being widened to the 100M+;• Sewage Lagoon Road has been cleared;… See more",92.0,13 comments,13 comments,City of Yellowknife,
"WILDFIRE UPDATE: September 22 - 3 new fires in the territory since last update. All of these fires were caused naturally, and are not currently a threat to communities, cabins or infrastructure. They are all being monitored closely.VQ055 is located about 54km southwest of Tulita. SS079 is located approximately 37km northwest of Fort Providence.SS080 started in northern Alberta and has moved into the territory. It is about 50km east of marker 12 on Highway 1, and 56km sout… See more",26.0,8 comments,8 comments,NWT Fire,
'Crisis situation': N.W.T. declares territorial state of emergency over wildfires.    -Wildfire now about 20 kilometres from Yellowknife.    -Yellowknife under state of emergency.    -Stanton Territorial Hospital ramping down ICU services and patients will be transferred to emergency department or Alberta; extended care patients will be transferred south. … See more,47.0,,,James Vincent Wardhaugh,
Put almost 600 Km's on this thing yesterday. Drove from Yellowknife to Whatí and back. Lots of gravel! Don't mind the wildfire smoke. It's a bad year up here.Skidplate took a few knocks.,20.0,,,Rally All The Cars,
"An enormous thank you to Sienna Hart Kellar and the team who came up to Yellowknife to rescue all of the horses, goats, and donkeys.",54.0,6 comments,6 comments,North Country Stables,
"I wanted to post a huge rave to Sienna Hart Kellar, former Yellowknifer, who organized a convoy of trucks and livestock trailers to come from Alberta to pick up … See more",,,,Sienna Hart Kellar,
"Breaking!!! Over 20,000 People Ordered To Evacuate Yellowknife As Canada Witnesses Worst Wildfire Season. #canada #news #naijanews #worldnews #wildfire #yellowknife #niger #canadanews #nigerianewstoday #breakingnews #trendingnews",10.0,,,Ambassador Zandy,
Acasta is continuing to support Yellowknife and every northern community during this state of emergency.dont.rusch.it#acastaheliflight #acastaheli #homeofthegneissguys #as350b2 #wildfire #helicopters #nwt #fireseason2023 #nwtfire  #stateofemergency #driptorch #firefighters,74.0,4 comments,4 comments,Acasta HeliFlight Inc.,Northwest Territories
"Just given’er!  Been some time since sleeping!  At the Alberta Boarder, on route to Grand Prairie to visit some old Millbrook Boys!  12 hrs of driving to get here,  6hr or so to go! Hopefully we will see our house again soon!  #yellowknife #wildfire #evacuees #wearesafe #ontheroad",76.0,22 comments,22 comments,Fish'n The Arctic with Ryan Gregory,
"ATTENTION: Tłı̨chǫ wildfire evacuees in Edmonton - from Yellowknife, Dettah, and N'dilo are advised that the CityOf Edmonton is at full capacity in Edmonton. No accommodations will be available for those who have not already registered. Evacuees from outside of Edmonton are asked NOT to seek transfer from their existing locations as services will not be available. The Expo Centre is now closed to new registerees.",5.0,7 comments,7 comments,Tlicho,
"Yellowknife WildfireFire update!!Big day ahead with high winds in the forcast. The West Fire is now 16km away from Yellowknife and headed in our direction. NWT state of emergency and the military has been deployed across the NWT. Packing the truck today with essentials to move around if needed.  Boat is in the shop !  Bad timing, but hopefully We have it back soon, so we have a back up plan for our back up plan!  . … See more",36.0,17 comments,17 comments,Ryan Gregory,Ash Gregory
"The City of Yellowknife will be live webcasting the Government of the Northwest Territories' Wildfire Update at 7 p.m. today, Sunday, August 20, 2023.Those looking to watch this can access it from our website here: https://www.yellowknife.ca/.../city-government-webcast....",23.0,4 comments,4 comments,City of Yellowknife,
"Canada is battling its worst wildfire season, with more than 1,000 active fires burning across the country. The province of British Columbia announced a state of emergency to deal with the natural calamity. Meanwhile, thousands of residents are rushing to evacuate the capital of Canada’s Northwest Territories as more than 200 fires burn. Full story here....#canada #wildfire #britishcolumbia #yellowknife #canadawildfire #climatechange #worldnews #mirrornow #originals",165.0,22 comments,22 comments,Mirror Now,
"Thousands more Canadians have been ordered to evacuate and displaced by wildfire in British Columbia’s Okanagan. “Officials say a significant number of homes have been destroyed by a fast-burning, ""unpredictable"" wildfire in the West Kelowna area as crews brace for what the B.C. Wildfire Service has predicted will be the most challenging days of the province's fire season.More than 2,400 properties are under an evacuation order and more than 4,800 properties under an evac… See more",8.0,18 comments,18 comments,Miranda Miller,
A message from Mayor Alty at 11 am today about Council's meeting today at 12:05 pm. The meeting will allow Administration to provide an update on wildfire protection around Yellowknife.,2.0,1 comment,1 comment,"Ben Hendriksen, Yellowknife City Councillor",
"Today at lunch, City staff will provide an update on wildfire protection work underway. You can join us in Council chambers or watch online: https://www.yellowk… See more",,,,Rebecca Alty,
From the NWT’s best journalists (two hours ago)……“RCMP in Yellowknife have told non-essential civilian staff and the families of members that they should “pre-emptively evacuate” on Wednesday morning.A wildfire is 16 kilometres to the west of Yellowknife and expected to get closer as winds push it east throughout the day. An evacuation order is in place along the highway into the city – the only highway connecting Yellowknife to the rest of Canada – and western neighbourh… See more,14.0,6 comments,6 comments,Don Jaque,
"Lawrence Casaway, an elder who fought Northwest Territories wildfires in the 1970s, said Dettah, Ndilǫ and Yellowknife aren't immune to wildfires.",7.0,,,CBC North,
"As part of our wildfire response, we shipped 400 lengths of fire hose to Yellowknife. Thank you Air Canada and Buffalo Airways for helping us bolster the capaci… See more",,,,GlobalMedic,
"Thousands of people are fleeing a wildfire on the outskirts of Yellowknife, one of the largest cities in Canada's north.A state of emergency has been declared, as firefighters battle nearly 240 blazes.",144.0,46 comments,46 comments,ABC News,
"Many who live in Yellowknife, Canada are wondering what will be left as a wildfire bears down on the capital of Canada's Northwest Territories. 20,000 people were ordered to leave by Friday and the only highway out of the city was packed with evacuees.",47.0,6 comments,6 comments,CBS Evening News with Norah O'Donnell,
"WILDFIRE UPDATE: September 4, 2023 – Hay River got more rain!  Cooling temperatures and scattered precipitation make ideal firefighting conditions in the area   Even if highways are open, crews are still at work! Crews will be active on Highway 3 between Behchoko and Yellowknife and on Highway 1 between the border and Kakisa and between km marker 40 and 60. Don’t make their jobs harder!  Please go slowly, give our crews space, and follow all direction on the ground. … See more",48.0,2 comments,2 comments,NWT Fire,
Canada might be evacuating cities now too,49.0,36 comments,36 comments,The Daily Caller,
"Yellowknife wildfire flares up in areas but is still being 'held,' officials say...N.W.T. Fire officials say wildfire hasn't moved any closer to city despite flare-ups in some areas...The wildfire near Yellowknife flared up on Tuesday, but N.W.T. Fire officials say the fire is still classified as being ""held."" Smoke could be seen on Tuesday from Highway 1, near the airport in Yellowknife. N.W.T. Fire confirmed by email the fire did flare up and crews are attending it. … See more",,,,TMC Anonymous Nunavut / NWT / Yukon,
"July 25, 2023 ""... The City of Yellowknife is about to explain more about how it will respond to an oncoming wildfire, Mayor Rebecca Alty says.Alty told Cabin Radio the city plans to publish guidance this week setting out, in broad terms, what might happen if a wildfire threatened some or all of its 20,000 residents.On this page, you can read a full transcript of our interview in which the mayor sets out Yellowknife’s approach. Scroll down to begin.A 17-page emergency plan… See more",1.0,1 comment,1 comment,Yellowknife current events,
In case you didn't already know (since Facebook is blocking news stories).,,,,Thor Volokwyn,
"EVACUATION ORDER in Yellowknife, Canada’s Northwest TerritoriesResidents must leave by Friday due to approaching wildfire.",3.0,,,Kimmy Laspina-Mowry,
Canadian water bombers flew over Yellowknife as thick smoke blanketed the capital of the vast and sparsely populated Northwest Territories. Officials say the fire is now 10 miles northwest of the city and could reach the outskirts by Saturday,56.0,2 comments,2 comments,Reuters,
"Due to the wildfire evacuation order issued for Yellowknife and surrounding areas, the LGANT office is currently closed. Staff will be monitoring emails.You can contact our Executive Director Melanie at: executivedirector@lgant.com or by phoning 1 (867) 765-5630 or our Communications Coordinator Emily at: information@lgant.comStay safe!",1.0,,,Local Government Administrators NWT,
"Yellowknife residents are fleeing a raging wildfire in the Northwest Territories and a state of emergency has been declared hundreds of miles away in Kelowna, British Columbia.",91.0,2 comments,2 comments,Kevin Mills,
#newstime9  Massive Wildfire Imperils Yellowknife #NEWSTIME9,1.0,,,Newstime 9,
"8:44 AM 22 September 2023, Yellowknife.  Sunrise was at 7:23 AM.  Wildfire smoke.  But on the positive side, we have fall colours...",8.0,1 comment,1 comment,Ian Rennie,
"Officials in Canada urged some 20,000 residents to evacuate Yellowknife in the Northwest Territories as a wildfire poses “a real threat to the city.”",178.0,27 comments,27 comments,Washington Post,
